"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","game","office","other","social","travel","unknown","weather"
2014-03-24,7,-1,0,0.0434318996415771,2508.2549996376,43.495,1100.514,1073.377,NA,NA,220.348,292.297,NA,NA,NA
2014-03-25,7,-0.2,0.6,0.137708587708588,7729.77000069618,116.887,3930.897,2999.969,NA,276.938,112.22,874.732,NA,NA,NA
2014-03-26,8,0.5,1.5,0.135562652965878,7892.531001091,212.512,3234.5,1950.957,NA,35.692,60.047,3143.653,564.176,NA,NA
2014-03-27,7,0.25,0.25,0.132328605200946,8167.15700054169,523.696,4045.84,2453.259,NA,NA,55.648,1081.538,NA,NA,NA
2014-03-28,7.6,-0.2,0.8,0.171470794200033,6928.63800191879,42.311,3588.191,1995.996,NA,42.263,367.836,3417.103,80.015,NA,NA
2014-03-29,7.8,0,1,0.111580882352941,3907.13099980354,32.411,1881.483,786.555,NA,NA,101.467,1257.523,NA,NA,NA
2014-03-30,7.8,0,0.8,0.211297852474323,8933.72099900245,1874.664,549.846,2057.889,2386.332,NA,44.391,2072.094,NA,NA,4.859
2014-03-31,7,-0.2,0.4,0.160605456891317,7504.32200050354,2017.195,2061.095,2416.332,NA,27.522,49.306,2699.895,NA,NA,NA
2014-04-01,7.75,0,0.75,0.225853623402472,8370.86999964714,1351.484,4034.721,775.56,866.915,NA,56.761,2224.119,NA,NA,NA
2014-04-02,6.8,-0.6,0.4,0.162552521008403,9183.50400090218,597.655,4435.702,1418.497,NA,167,58.694,2845.707,22.122,NA,NA
2014-04-03,7.2,0,0.4,0.209573898096298,7130.96700024605,509.24,3895.875,1316.649,9.028,NA,54.772,1875.638,167.515,NA,NA
2014-04-04,7,-0.4,0.2,0.14952380952381,9345.66300010681,859.879,3580.079,1366.65,1636.732,NA,41.732,2963.02,549.962,NA,NA
2014-04-05,7,-0.4,0.8,0.292273901808785,4097.58800005913,537.624,1395.313,559.464,NA,NA,81.583,2637.35,119.68,NA,NA
2014-04-06,7,-1,0.4,0.0204257246376812,5300.54499936104,760.537,886.779,533.16,NA,NA,76.721,3042.546,NA,NA,NA
2014-04-07,6.2,-0.6,0,0.194947209653092,6208.28999948502,402.886,3437.375,581.422,NA,NA,43.457,2274.866,37.449,NA,NA
2014-04-08,6.6,-0.2,0,0.174948559670782,8079.53199887276,2506.426,3951.154,1588.404,636.958,172.817,61.256,1512.964,4.01,NA,NA
2014-04-09,7.4,0.4,0.8,0.103095975232198,9689.76699995995,1589.932,4194.89,2658.299,NA,473.817,60.772,3642.325,247.616,NA,1.007
2014-04-10,7.6,-0.2,0.8,0.224284245166598,7552.35699987412,776.309,3493.525,926.864,9.124,NA,57.606,3132.322,890.794,NA,26.138
2014-04-11,7.8,-0.2,1,0.205916709564537,6816.5619995594,48.418,2938.318,6358.007,NA,90.136,61.621,3226.069,100.72,NA,NA
2014-04-12,8.2,0.4,1,0.23391223155929,4206.08200073242,257.655,682.347,1565.492,371.671,NA,90.893,1145.472,70.887,NA,16.081
2014-04-13,6.5,-1.5,0.25,0.344741532976827,7659.9350001812,1229.583,4051.383,710.222,NA,NA,55.635,2150.362,404.989,NA,NA
2014-04-14,7.25,-0.25,0.75,0.178742937853107,4463.48399925232,1113.333,2002.915,571.143,NA,29.434,38.558,701.473,NA,NA,NA
2014-04-15,7,-0.4,0.6,0.200563607085346,6740.17999982834,1489.296,3870.255,1070.073,NA,71.646,58.973,2801.255,18.202,NA,12.056
2014-04-16,7.6,0,0.4,0.145065084857472,15929.5439987183,1915.677,6571.259,2434.444,NA,18.5,65.859,3611.662,80.631,NA,NA
2014-04-17,6.8,0.2,0.6,0.151670692431562,12332.7070009708,621.974,4482.571,3229.619,NA,297.992,1444.059,2761.658,37.3,NA,NA
2014-04-18,6.25,-1,0.5,0.146215475437487,7052.25300121308,714.672,3474.757,1980.954,76.947,10.072,57.885,913.463,331.93,NA,NA
2014-04-19,6.8,0.2,0.6,0.0982638888888889,5234.97900080681,596.872,3080.599,1188.453,NA,NA,61.891,188.92,116.222,NA,NA
2014-04-20,8.2,0.6,0.8,0.0296575670498084,5498.42800045013,105.115,1344.616,1232.219,NA,NA,52.714,2966.189,NA,NA,NA
2014-04-21,7,0.2,0.6,0.0782393726721457,7144.26599979401,36.102,2974.157,2439.452,NA,NA,60.811,2282.25,143.069,NA,NA
2014-04-22,6.6,-0.4,0.6,0.144497799119648,15079.2819986343,1639.879,7600.51,4082.612,NA,43.966,72.462,1462.693,230.95,NA,NA
2014-04-23,7,0,0.8,0.13372735533588,9755.8119995594,355.767,5508.012,2288.483,NA,102.875,138.344,2548.81,191.863,NA,26.582
2014-04-24,7.75,-0.25,0.75,0.235710512674134,7186.62499928475,1067.787,4002.342,1071.875,NA,4.016,123.409,958.284,208.069,NA,15.117
2014-04-25,6.4,-1,0.4,0.265,8179.01499986649,808.688,3095.93,1781.675,NA,59.679,48.46,3203.542,255.394,NA,NA
2014-04-26,7.5,0,1,0.206597222222222,6388.54300117493,694.78,2761.175,1091.925,NA,136.354,65.948,712.429,924.031,NA,NA
2014-04-27,7.2,-0.6,1,0.0597158394607843,1710.33500051498,NA,529.021,354.392,NA,NA,52.556,708.348,166.64,NA,NA
2014-04-28,6.75,-0.25,0.5,0.172324434824435,6545.04800081253,50.263,4157.267,1114.321,NA,31.483,29.229,1573.857,NA,NA,NA
2014-04-29,7.25,0,1,0.17519711588339,8530.25200080871,1423.879,4224.186,2081.564,NA,0.044,40.293,4444.076,NA,NA,NA
2014-04-30,6.8,-0.6,0.6,0.108884277515771,8637.35599923134,788.811,3771.92,2404.075,NA,92.167,42.517,1605.029,63.787,NA,NA
2014-05-01,8,0,1,0.326726844583987,3277.34400010109,290.615,1144.89,1676.511,NA,11.035,43.191,1206.588,276.651,NA,NA
2014-05-02,7.2,-0.75,1,0.185263653483992,6839.91299819946,915.983,2552.237,387.638,NA,NA,37.36,2691.042,263.373,NA,7.101
2014-05-03,6.25,-0.75,0,0.22025871459695,1446.62399983406,4.009,995.107,234.769,NA,123.711,75.887,494.587,NA,NA,NA
2014-05-04,7.6,-0.8,0.75,0.167090557153094,3883.25099945068,366.025,1572.977,272.503,NA,NA,135.427,1430.776,4.015,93.997,NA
2014-05-05,7,-0.666666666666667,0.666666666666667,0.082037037037037,5316.62299990654,24.224,2457.729,742.934,NA,NA,31.449,2002.652,56.464,NA,NA
2014-05-06,NA,NA,NA,0.127155306567071,8128.75799894333,250.912,4816.999,1168.506,NA,108.783,NA,3125.973,40.743,NA,NA
2014-05-07,6.75,-0.5,0.25,0.117385232902474,9289.80900096893,1376.355,4161.499,2098.901,NA,187.294,624.226,2161.716,24.233,NA,8.026
2014-05-08,7,-1,1,0,NA,NA,303.463,14.932,NA,NA,NA,63.596,NA,NA,NA
