"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities"
2014-03-13,7,-2,1,NA,1252.23699998856,64.527,513.395,73.508,NA,467.236,174.092,NA,NA,NA
2014-03-14,7.8,0.2,1.4,NA,7292.19600176811,1799.371,4896.72,100.104,NA,1211.863,938.998,2862.415,NA,NA
2014-03-15,7,0.2,0.4,NA,4634.64099860192,2043.058,3284.496,671.05,NA,1157.275,565.078,NA,NA,NA
2014-03-16,6.4,-1,0.2,NA,4920.90399909019,128.676,649.433,37.964,NA,2366.203,571.198,NA,141.978,NA
2014-03-17,6.6,0,0.8,NA,3146.81599879265,1027.13,1015.131,NA,NA,701.473,426.51,236.148,NA,12.518
2014-03-18,7,-0.2,0.8,NA,2748.71399855614,556.45,5882.241,2464.328,NA,981.155,416.742,NA,NA,NA
2014-03-19,7.8,-0.2,1.2,NA,15164.4039990902,790.38,9544.346,1074.901,NA,4203.599,294.512,NA,NA,NA
2014-03-20,6.4,0.8,0.2,0.287517396235884,8615.40499901772,462.368,7656.217,670.754,NA,626.924,497.604,NA,NA,NA
2014-03-21,6.4,0.6,0.6,0.0846487121915734,12928.4999980927,144.126,14123.69,1224.32,NA,109.863,162.789,47.006,NA,NA
2014-03-22,8.4,1.4,1.6,0.0939734996186608,12328.1569998264,925.617,8514.374,2283.683,NA,355.851,654.827,NA,NA,NA
2014-03-23,7.4,1.6,1,0.119162633868516,6527.2760002613,387.581,5841.738,631.968,NA,316.934,249.133,NA,19.359,NA
2014-03-24,8.8,1,1.8,0.307412985707103,4688.18700051308,341.122,3140.384,944.294,NA,97.92,186.043,NA,NA,NA
2014-03-25,7.6,1.2,1.8,0.0985684853651605,5026.94799947739,118.196,4322.161,208.497,NA,1139.661,381.363,550.99,NA,25.496
2014-03-26,8.4,-1,1,0.303655124259914,9064.92799973488,430.692,7317.156,807.299,NA,265.619,244.409,NA,NA,NA
2014-03-27,7.4,-1.2,1,0.108094129572087,8565.00399899482,17.725,7266.265,733.764,NA,524.985,352.816,289.617,NA,NA
2014-03-28,7.6,-1,1.2,0.335583739717865,12150.3519997597,1688.574,5064.351,1870.323,33.368,180.592,2989.314,263.015,NA,NA
2014-03-29,7.2,-1.8,1,0.370085377984085,5617.91600131989,200.035,5104.884,713.427,NA,117.574,650.089,NA,NA,43.997
2014-03-30,6.2,-0.6,0.8,0.110631520394719,9519.96399950981,27.302,7303.315,431.246,NA,1504.998,94.915,NA,NA,NA
2014-03-31,7,-1.2,0.6,0.292226890756302,5456.01199793816,543.161,2715.429,1138.739,NA,74.55,726.801,NA,NA,NA
2014-04-01,7.5,-1.5,1,0.438748346560846,7494.29600048065,3216.021,4242.906,706.467,NA,136.147,4124.664,NA,13.519,NA
2014-04-02,7.4,-1.2,1,0.371207945037994,9194.63899707794,390.476,20718.749,579.51,NA,100.02,830.586,NA,NA,NA
2014-04-03,7.6,-0.8,1.4,0.303966145202819,11380.3019993305,1548.3,12564.073,368.455,NA,132.127,35.561,NA,NA,NA
2014-04-04,7.8,-0.6,1,0.196742259412272,8050.79600334167,918.598,7126.405,680.983,NA,201.698,398.068,NA,NA,NA
2014-04-05,6.8,0.2,0.8,0.156461272179357,12458.3269996643,91.818,11836.062,549.493,NA,237.982,82.548,NA,NA,NA
2014-04-06,6.25,0.25,0.75,0.320321023202379,8325.58799862861,1421.958,6148.126,346.799,NA,115.575,526.263,283.402,211.247,NA
2014-04-07,7.4,-0.4,1,0.308004656765719,10618.1819992066,254.955,12359.838,206.152,NA,1502.867,916.995,NA,NA,NA
2014-04-08,8.2,0.8,1.4,0.124335514782291,10384.8840022087,1052.325,7986.181,985.211,NA,129.537,158.302,NA,NA,24.576
2014-04-09,7.8,-0.2,1.2,0.190265148239873,14230.1479969025,1151.705,11542.971,238.654,NA,874.868,209.894,NA,NA,316.434
2014-04-10,7.6,0.6,1,0.309211404675854,8855.4799990654,285.247,8405.13,NA,15.069,212.21,102.73,NA,NA,NA
2014-04-11,6.8,0.6,1.2,0.46870776282541,3541.37999916077,864.074,2146.671,NA,NA,230.848,375.111,NA,NA,NA
2014-04-12,6.8,0.6,1,0.0954991948470209,7624.41800069808,393.128,5616.257,124.435,232.757,91.126,342.215,NA,NA,NA
2014-04-13,6.6,0.2,0.8,0.151340679418381,8206.34299945832,146.259,7647.544,NA,NA,256.995,156.511,NA,NA,NA
2014-04-14,6.8,-0.6,1,0.261018543203294,4942.53599953652,376.565,4689.806,NA,NA,200.27,214.171,NA,56.776,NA
2014-04-15,6,-0.8,0.2,0.369934555070097,8591.4170012474,2472.136,6524.437,NA,NA,587.126,178.809,NA,NA,NA
2014-04-16,6,-0.25,0.75,0.338282828282828,6136.71899843216,568.467,5001.134,NA,91.275,332.408,278.166,NA,NA,NA
2014-04-17,6.4,-1.2,1,0.0414110526038063,11643.3320009708,287.691,9404.267,73.766,66.806,1440.858,320.403,NA,NA,NA
2014-04-18,3.5,-1,-1,0.118181818181818,1017.90200042725,50.071,692.774,NA,NA,41.769,66.562,NA,NA,NA
2014-04-19,7.2,-0.6,1,0.240850591796765,9011.54700088501,1480.781,6410.086,380.846,119.26,537.467,192.804,15.463,NA,NA
2014-04-20,6.6,-1.6,0.6,0.26218487394958,2915.60500097275,17.699,5446.16,11.45,15.035,107.948,175.827,NA,NA,NA
2014-04-21,7.4,-1.4,1,0.157101768223775,10264.7400000095,261.909,8703.749,NA,NA,2403.464,139.592,43.746,NA,NA
2014-04-22,5.75,-1.25,0.75,0.271035265384637,7339.74500083924,1539.318,5355.558,NA,NA,272.85,495.325,NA,NA,NA
2014-04-23,7.4,-0.8,1,0.43857334881771,3922.77300024033,521.996,2699.926,NA,NA,97.396,612.538,70.989,NA,NA
2014-04-24,7.66666666666667,1,1,0.437810106560106,13762.4610016346,579.919,2797.652,NA,NA,303.988,493.54,NA,NA,NA
2014-04-25,7.75,-0.25,1.25,0.440568843957452,5650.64099931717,908.493,2634.043,NA,NA,205.896,1675.867,NA,298.577,NA
2014-04-26,8.8,-1.8,1.6,0.169494766505636,7379.34699940681,134.419,5632.783,NA,NA,291.581,416.906,226.175,NA,NA
2014-04-27,8,-0.5,1.5,0.264934672815108,13700.4249992371,771.598,10223.057,NA,16.433,1365.913,820.334,275.659,NA,69.928
2014-04-28,8.16666666666667,-1.66666666666667,1,0.29876844002231,7873.46799993515,485.041,6129.391,NA,16.323,472.553,545.32,165.715,NA,NA
