"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","other","social","travel","unknown","utilities"
2014-03-20,7,-1,1,NA,369.40099978447,211.455,6.086,43.303,NA,63.294,NA,47.557,NA,545.854,NA
2014-03-21,7,0.25,0.25,NA,30.0939998626709,30.088,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-22,7.5,1,0.5,0.00771604938271604,1565.31500029564,29.871,402.935,NA,NA,NA,58.238,3.013,NA,1071.095,NA
2014-03-23,7.6,0.8,0.8,0.0432098765432099,691.371000051497,46.412,657.611,48.255,NA,NA,65.792,NA,NA,22.147,NA
2014-03-24,6.8,-0.2,0.4,0.0333333333333333,2392.94799947739,115.908,766.497,162.989,NA,445.804,14.054,228.282,NA,954.654,NA
2014-03-25,6,-0.75,-0.5,0.0789351851851852,2657.94100022316,872.518,242.466,261.954,NA,347.386,130.525,523.087,NA,222.015,88.629
2014-03-26,6.8,0.4,0.4,0.0257621567145376,748.316999912262,256.878,80.782,370.681,NA,NA,72.931,347.365,NA,NA,NA
2014-03-27,7,0.25,0.75,0.057,1263.72100043297,228.71,115.054,44.372,NA,624.721,NA,250.676,NA,NA,NA
2014-03-28,6.25,0.5,0,0.0238095238095238,460.551999807358,408.747,133.349,NA,NA,NA,8.027,NA,NA,NA,NA
2014-03-29,7.4,1,1,0.138139158576052,760.843999862671,122.243,21.13,NA,NA,494.903,122.482,NA,NA,NA,NA
2014-03-30,7.5,1,1,0.380208333333333,834.675000429154,22.232,444.131,NA,NA,NA,NA,327.462,NA,821.101,NA
2014-03-31,7,0.8,0.8,0.0125,20.71399974823,NA,20.709,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,6.25,0,0,0,29.6319999694824,38.34,NA,NA,NA,953.245,NA,NA,NA,NA,NA
2014-04-02,6.5,0,0.25,0.0671296296296297,2276.72800064087,510.743,715.668,148.782,NA,NA,18.118,789.297,93.434,NA,NA
2014-04-03,6.66666666666667,0.333333333333333,0.333333333333333,0.0550229741019215,54.6529998779297,43.258,NA,NA,NA,NA,11.387,NA,NA,NA,NA
2014-04-04,7,0.75,0.5,0.0157407407407407,2065.84699892998,275.829,761.82,NA,75.399,546.803,41.504,364.033,NA,NA,NA
2014-04-05,7,0.4,0.8,0.0905602359962825,807.576000213623,108.754,94.521,27.475,NA,422.587,153.896,NA,NA,NA,NA
2014-04-06,7,0.6,0.8,0.0602271408224648,3924.26999950409,231.018,852.777,14.083,NA,418.192,NA,437.39,NA,NA,NA
2014-04-07,6.8,0.6,1,0.0290117079889807,290.202000141144,73.935,882.912,77.365,NA,530.69,NA,574.76,NA,NA,NA
2014-04-08,7.25,0.5,0.75,0.00336700336700337,601.964999914169,66.224,NA,NA,NA,531.717,NA,4.024,NA,NA,NA
2014-04-09,7.75,0.25,1,0.069361289395536,1532.69599986076,241.883,263.23,248.851,NA,NA,44.223,1007.613,NA,NA,NA
2014-04-10,7,0.5,0.5,0.0218364197530864,1213.40699982643,86.771,661.899,123.988,NA,NA,10.035,330.513,NA,NA,NA
2014-04-11,7.5,0.5,0.75,0.0550925925925926,169.18499994278,55.402,72.345,NA,NA,NA,41.273,NA,NA,NA,NA
2014-04-12,6.8,0,0.6,0.0459805591031645,3952.10500001908,326.646,2408.115,NA,49.692,404.376,81.629,105.212,NA,NA,NA
2014-04-13,6.8,0,0.6,0,5.01699995994568,12.451,NA,NA,NA,569.675,NA,NA,NA,NA,NA
2014-04-14,6.8,0,0.2,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-15,6.8,0,0.6,0.106944444444444,699.731999874115,104.234,421.382,24.137,NA,NA,14.144,135.541,NA,NA,NA
2014-04-16,7.2,0.4,0.6,0.00462962962962963,11.2980000972748,NA,NA,NA,NA,NA,11.276,NA,NA,NA,NA
2014-04-17,6.4,-0.4,0.4,0.0145800106326422,1704.49699997902,306.671,476.179,65.554,NA,496.895,NA,319.817,NA,39.18,NA
2014-04-18,6.75,0,0.5,0.00643004115226337,93.5469996929168,78.833,NA,NA,NA,NA,NA,14.633,NA,NA,NA
2014-04-19,7.5,0,1,0.0362707535121329,2848.95300102234,73.705,2344.307,NA,NA,196.45,NA,35.379,NA,3.01,NA
2014-04-20,7.6,-0.4,0.6,0.17375,758.62700009346,308.396,282.616,NA,NA,NA,185.428,13.353,NA,NA,NA
2014-04-21,7.4,0.2,0.8,0.060422502334267,719.638000965118,168.567,341.427,14.783,NA,NA,14.048,1074.261,NA,NA,NA
2014-04-22,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-23,7,-0.333333333333333,0.333333333333333,0.0541666666666667,317.956999540329,8.156,202.358,12.065,NA,NA,12.05,83.15,NA,NA,NA
2014-04-24,7,-0.2,0.4,0.0369019607843137,1478.54700136185,542.866,484.745,16.071,NA,NA,378.066,82.875,NA,NA,NA
2014-04-25,7,0.5,0.25,0.0437933055348104,707.317000389099,192.424,488.702,21.807,NA,NA,46.597,60.263,NA,NA,NA
2014-04-26,7,0.5,0.75,0.0461111111111111,1290.61299943924,113.58,594.009,122.576,NA,NA,NA,460.113,NA,NA,NA
2014-04-27,6.8,0,0,0.0178928571428571,1501.02900052071,132.168,337.639,NA,NA,NA,38.161,932.73,NA,59.635,NA
2014-04-28,6.8,0,0.2,0.056686674669868,2972.65599918365,249.593,1130.865,200.395,NA,561.007,46.02,399.017,NA,NA,NA
2014-04-29,7.25,0.25,0.75,0.00347222222222223,419.503999948502,163.942,105.477,18.071,NA,NA,NA,131.852,NA,NA,NA
2014-04-30,7,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-01,7,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,7.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-03,6.75,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-04,7.33333333333333,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-05,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
