"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","game","office","other","social","travel","utilities","weather"
2014-04-02,NA,NA,NA,0.153125,292.639000415802,123.876,91.233,NA,NA,NA,18.264,128.539,NA,NA,NA
2014-04-03,7.4,-0.4,0.6,0.0788194444444444,3268.67299962044,769.308,921.003,NA,333.024,NA,160.24,1084.116,NA,NA,NA
2014-04-04,7,1,0.2,0.139242888015421,2669.06700015068,1759.155,732.123,NA,421.726,NA,120.408,828.336,106.467,NA,NA
2014-04-05,7.4,-0.2,0.6,0.0513888888888889,5887.94499778748,1794.515,2324.972,NA,210.256,NA,77.463,2323.352,NA,19.125,NA
2014-04-06,7,-1,0.2,0.0809027777777778,4060.82999944687,968.426,2075.192,NA,136.404,48.857,63.426,1004.3,116.07,NA,25.474
2014-04-07,7.6,1,0.8,0.084375,4268.78799867631,690.937,2670.446,NA,121.23,NA,69.964,656.997,58.36,NA,NA
2014-04-08,7.6,-0.6,0.8,0.0711805555555556,2996.42699956894,1083.481,1193.049,NA,255.912,NA,157.368,756.178,180.676,NA,NA
2014-04-09,7,0.4,0.8,0.112152777777778,5062.94700074196,773.605,2828.066,NA,96.431,NA,254.451,921.989,187.411,NA,NA
2014-04-10,7.4,-0.2,0.4,0.125,3914.55099964142,1097.353,1929.759,NA,219.773,NA,73.634,770.102,120.381,1.004,NA
2014-04-11,5.8,0.4,-0.6,0.0857638888888889,2744.95200109482,683.657,712.525,NA,114.861,NA,46.374,1186.72,NA,NA,NA
2014-04-12,7,0.25,0.5,0.0771312260536399,3724.4410007,2548.493,1614.301,NA,148.916,NA,47.09,1255.997,NA,NA,NA
2014-04-13,8.75,0.5,1.5,0.137176724137931,2255.39900040627,636.07,751.391,NA,30.042,NA,74.851,762.478,NA,NA,NA
2014-04-14,7.6,-0.8,0.8,0.0809027777777778,1172.43699860573,472.518,497.537,NA,69.951,NA,63.226,39.278,NA,NA,29.347
2014-04-15,7.2,-0.6,0.6,0.0902691689623508,4384.61599993706,746.26,2107.479,NA,141.707,NA,87.431,1089.749,294.215,NA,NA
2014-04-16,7.8,-1.4,1,0.118181022408964,6687.84900093079,927.055,2641.498,NA,113.076,NA,102.046,849.533,2053.753,NA,NA
2014-04-17,7.6,0.2,0.8,0.101053338001867,5559.07799911499,2018.145,1326.581,NA,112.246,NA,107.089,947.82,2643.791,NA,NA
2014-04-18,8.6,0,1.4,0.115972222222222,2629.14900016785,765.478,1006.05,NA,36.261,NA,54.524,558.164,207.497,NA,NA
