"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-03-20,7,0.333333333333333,1,0.0822704081632655,6640.6430003643,664.866,2011.303,1930.061,38.551,NA,228.138,355.448,778.076,NA,29.373,31.155,NA
2014-03-21,7.8,-0.4,1.2,0.212259468114731,9825.66399931907,945.146,3108.808,4282.086,NA,NA,NA,468.773,1685.434,NA,61.8,87.215,NA
2014-03-22,7.6,-0.8,1,0.220790671008433,14524.6019997597,1295.845,8596.963,2051.53,NA,NA,NA,1093.018,1903.947,NA,72.328,74.434,NA
2014-03-23,7.8,-0.6,1,0.121258611394774,16030.5469992161,931.757,4933.717,5675.066,NA,NA,NA,795.377,3174.869,NA,51.409,76.416,366.937
2014-03-24,7.8,-0.2,1,0.144073734519211,15730.021999836,1173.282,6090.128,2959.934,194.072,NA,137.45,1382.905,3555.056,NA,15.109,94.495,15.07
2014-03-25,8,-0.2,1,0.134146783713485,15856.781001091,1776.05,9165.199,3057.944,25.429,NA,NA,544.635,2113.006,NA,29.197,58.283,NA
2014-03-26,6.8,0.2,0.6,0.200921262512715,20322.2250003815,1436.006,7735.433,2769.173,NA,NA,259.402,1142.667,3180.192,NA,135.757,58.241,6.087
2014-03-27,7.75,-0.75,1,0.160133293806911,17837.5970001221,1377.245,8619.059,3634.555,13.057,NA,36.242,256.431,3883.824,NA,174.448,180.794,NA
2014-03-28,7.8,0,1,0.248407170035962,17672.0890009403,1420.607,7677.406,2125.773,13.088,NA,68.523,397.424,2055.419,26.599,285.998,67.451,NA
2014-03-29,8.4,-1.4,1,0.132524373975124,17474.8720006943,745.626,9433.996,4951.746,NA,NA,225.147,105.207,1724.748,NA,NA,62.825,NA
2014-03-30,7.6,-1.2,1,0.112650091108903,11700.1380012035,940.755,4665.377,3374.619,NA,NA,44.246,191.637,2183.854,258.375,98.398,46.379,1.007
2014-03-31,7.6,-0.8,1,0.234519508554321,12971.8110003471,827.493,9438.066,1387.099,NA,NA,NA,251.44,1008.71,51.068,185.751,41.77,NA
2014-04-01,7.8,-1.2,1.2,0.157150081085066,12881.6169993877,4823.892,4574.087,5218.006,57.264,NA,NA,372.196,1174.38,28.275,169.243,29.526,NA
2014-04-02,7.6,-0.6,0.6,0.163744398036123,9073.77499842643,657.483,3926.909,2697.003,13.048,NA,NA,910.432,708.391,NA,11.094,13.581,NA
2014-04-03,8,0.2,1,0.125172889022323,14459.533000946,1513.555,3706.306,5515.235,NA,NA,105.028,636.729,2944.562,2.01,300.221,55.308,NA
2014-04-04,7.8,-1.2,1,0.142540313587564,15638.4230000973,1626.443,4981.265,4869.823,371.857,NA,NA,398.727,1455.562,73.846,71.413,122.036,NA
2014-04-05,8,-0.8,1,0.067549336628284,9363.12999916078,1053.051,1912.127,4050.008,21.149,478.826,10.073,304.675,1252.381,NA,217.914,73.487,NA
2014-04-06,8,-1.2,1,0.0910381678849412,10319.0620005131,1158.746,1913.004,3701.609,NA,1933.979,NA,249.572,1087.416,NA,4.37,2.013,97.505
2014-04-07,7.6,0,1,0.121952154706541,16311.2620010376,2029.616,9128.585,2757.346,NA,783.656,NA,400.628,981.196,163.758,NA,32.176,74.886
2014-04-08,7.8,-0.6,1,0.159022545839376,16108.3979985714,3732.629,7115.139,3160.507,34.218,1472.166,NA,777.092,1365.501,3.011,2.016,175.298,NA
2014-04-09,7.75,-0.5,1,0.16093566148462,18234.7779986858,2244.213,5892.173,4178.883,NA,2545.215,4.011,1052.962,1530.442,NA,18.276,29.163,NA
2014-04-10,8.2,-1,1,0.133553242156183,11401.8350009918,728.171,3685.348,3942.701,20.066,1052.935,NA,406.338,1414.605,77.751,NA,68.332,NA
2014-04-11,7.66666666666667,-0.666666666666667,0.666666666666667,0.146759814098917,19381.9139995575,2146.049,9989.65,2982.029,30.911,2569.329,NA,380.335,1846.805,NA,NA,91.215,8.032
2014-04-12,7.8,-1,1.2,0.0613341448900887,11779.1970009804,1093.529,3227.387,2885.993,NA,2732.409,NA,151.306,1787.536,NA,NA,8.045,NA
2014-04-13,7.2,-1.6,1,0.0788828434437322,10114.311999321,908.502,1882.34,3672.781,24.107,1933.573,47.282,216.451,1546.939,NA,NA,44.408,NA
2014-04-14,7.75,-0.25,1,0.170820343102443,12149.3350002766,1174.509,5890.584,2595.635,NA,676.145,NA,168.323,1606.053,NA,NA,55.8,NA
2014-04-15,7.6,-1.4,1,0.122327316749486,15471.4199991226,1711.254,7380.061,3118.429,77.438,212.981,108.721,3727.716,1677.341,51.313,NA,59.119,NA
2014-04-16,8.4,-0.4,1.4,0.191853741599804,13415.6509993076,1477.202,6107.518,3365.758,12.912,1259.876,NA,113.209,1122.412,NA,446.635,27.163,NA
2014-04-17,7.6,-0.8,1,0.161253173212752,19547.7900011539,1819.289,5486.983,7976.674,95.558,1628.345,NA,596.767,1798.067,NA,120.063,45.539,NA
2014-04-18,7.4,-1.2,1,0.0412204688493869,17662.4500002861,885.276,4684.188,6324.875,40.49,540.616,NA,1591.325,3108.953,NA,63.287,14.052,NA
2014-04-19,7.8,-1.2,1,0.0998534588835592,11295.7999997139,887.883,1809.449,4174.192,11.042,1289.663,NA,107.617,2179.351,NA,179.737,44.178,3.008
2014-04-20,7.75,-1.25,1,0.10913892761391,13949.2329995632,844.212,4961.331,3333.78,NA,1818.202,NA,292.726,1295.891,NA,NA,113.437,NA
2014-04-21,7.8,-1.6,1,0.111134037278631,14151.794000864,772.35,8696.817,2859.424,12.13,4.021,NA,71.548,2297.483,NA,1399.317,52.253,NA
2014-04-22,8,-0.8,1.2,0.148634232536309,10817.137999773,1221.141,4569.821,1752.216,30.122,NA,NA,325.682,1347.849,NA,504.445,96.384,NA
2014-04-23,7.6,-1.4,1,0.0936255194588528,10317.3790004253,702.796,4899.344,2684.662,117.295,94.599,NA,133.042,2001.394,NA,NA,37.22,NA
2014-04-24,8.2,-1.2,1.2,0.134197630073415,11102.1480021477,569.474,5939.993,1552.34,55.164,9.124,NA,72.652,2690.901,NA,NA,9.09,NA
2014-04-25,7.5,-1,1,0.14113887003386,14133.5420014858,2158.247,3796.98,5933.356,NA,226.119,NA,418.095,1301.468,130.664,90.645,77.4,NA
2014-04-26,7.8,-1.2,1,0.345103785103785,12684.2990007401,18136.644,3989.128,4088.948,NA,NA,11.033,370.916,1518.162,NA,397.618,NA,7.026
2014-04-27,7.8,-1,1,0.126081186465196,12210.0190000534,1340.846,1761.215,5804.6,NA,NA,NA,256.342,956.505,NA,NA,19.108,23.033
2014-04-28,8,-1,1,0.203675969665205,13116.3679988384,3744.898,2819.179,4333.06,207.011,1069.191,5.184,211.689,2238.814,77.396,7.083,45.295,NA
2014-04-29,8,-1,1,0.170996540960535,14698.6679990292,2142.642,6910.946,2525.122,42.246,644.11,NA,384.05,1227.023,129.679,364.883,88.487,NA
2014-04-30,7.8,-1.2,1,0.161083520272173,13110.4680008888,4951.132,5065.755,2754.262,NA,NA,5.021,254.927,1821.866,142.656,251.987,102.614,NA
2014-05-01,8.2,-1,1,0.1630998906522,16552.0130009651,2410.548,6134.199,3020.136,NA,597.437,NA,1100.882,1567.517,239.655,109.5,47.59,NA
2014-05-02,8,-1,1,0.135876708424492,17277.6069991588,1304.992,6586.02,7085.825,132.001,178.118,NA,70.281,1737.964,171.873,11.042,123.998,NA
2014-05-03,7.8,-1.2,1,0.181973330503679,5492.01799988747,403.891,1055.244,2766.216,NA,26.189,NA,85.762,1145.894,NA,NA,9.033,NA
2014-05-04,7.8,-1.4,1,0.209722222222222,4694.92800045014,678.116,621.348,2058.549,NA,NA,NA,331.376,1005.251,NA,NA,NA,NA
2014-05-05,8,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
