"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities"
2014-03-14,8,-1,2,NA,5622.50999903679,257.071,4362.429,269.409,NA,358.415,468.649,NA,NA,28.657
2014-03-15,6.2,0,0.4,NA,8903.78200006485,797.809,6364.988,2050.826,NA,174.931,683.573,NA,186.877,41.317
2014-03-16,6.33333333333333,-0.666666666666667,0,NA,5548.0489988327,389.773,4189.964,780.33,NA,88.685,NA,NA,55.344,28.373
2014-03-17,6,-0.4,0.4,0.083370520962047,5613.82400131226,839.597,1774.029,1020.822,NA,148.272,NA,NA,7.068,19.328
2014-03-18,7.5,0.25,1,0.113195906157921,7177.02600073815,422.774,4411.521,905.37,NA,67.334,NA,NA,28.289,57.916
2014-03-19,6.75,1,0.75,0.133691264926536,6095.81000113487,235.807,4320.741,1031.177,NA,122.397,NA,NA,23.393,15.09
2014-03-20,7.2,1,0.8,0.118456799386123,4862.8659992218,122.208,4486.863,512.418,NA,157.196,NA,NA,NA,NA
2014-03-21,7.25,0,1,0.0501977228988561,3032.31899952889,393.794,2267.379,375.792,NA,53.848,NA,NA,NA,NA
2014-03-22,3.75,-2,-1,0.0185609923352062,1806.17999958992,13.041,1098.569,641.921,NA,118.051,NA,NA,NA,7.036
2014-03-23,4.4,-1.4,-1,0.0852428972480861,3991.81600022316,269.464,2880.448,749.339,NA,91.277,NA,NA,NA,NA
2014-03-24,3.75,-2,-1,0.00653587207270855,4166.94500088692,1117.885,3652.671,554.26,NA,124.07,NA,NA,99.938,153.627
2014-03-25,5.33333333333333,-1,0.333333333333333,0.0409668880042286,9523.14300107956,115.586,5931.509,2687.957,NA,253.707,NA,NA,157.198,495.038
2014-03-26,5.5,-0.5,0.25,0.0392365091937256,8523.02899956704,176.916,7550.9,715.528,NA,93.703,NA,NA,124.287,NA
2014-03-27,5.8,-0.6,0.2,0.0771758602536093,11263.5260016918,620.858,8743.153,1137.204,NA,107.356,NA,NA,137.643,26.285
2014-03-28,6.2,0,0.6,0.0453245831682896,4806.28000020981,308.83,3767.675,4129.413,NA,111.722,345.007,NA,NA,17.071
2014-03-29,6.4,-0.4,1,0.10442318185053,2506.71900033951,473.51,1584.78,345.242,NA,91.391,NA,NA,32.533,47.14
2014-03-30,6.2,-0.8,0.8,0.0749195096161263,4132.28499937057,194.232,3235.621,360.442,NA,126.417,NA,NA,22.921,95.895
2014-03-31,6.8,-0.4,1,0.0553413217689974,1278.2409992218,110.377,581.754,1269.714,NA,122.04,NA,NA,255.71,66.526
2014-04-01,7,0,1,0.07812598561495,4642.27499938011,459.605,2799.097,919.047,NA,68.679,356.507,NA,52.488,19.131
2014-04-02,7,-0.2,1,0.0731261412742347,3362.54299902916,388.53,1747.588,651.506,NA,112.719,308.799,NA,175.624,10.106
2014-04-03,7.2,-1,0.8,0.0527514853351881,4592.45099902153,707.565,3026.877,251.912,NA,86.589,644.762,NA,NA,NA
2014-04-04,7,-0.8,1,0.0414565235748597,9140.19500064851,1581.809,6527.512,272.731,NA,245.756,237.591,NA,240.52,22.511
2014-04-05,7.5,0,1,0.069288464144074,2489.05300092697,279.144,1322.723,217.571,NA,458.47,NA,NA,117.526,NA
2014-04-06,6.8,-0.4,1,0.0773626381532749,4267.38500022888,229.397,3604.419,887.666,NA,65.893,6.036,NA,NA,72.998
2014-04-07,6.75,-0.25,0.75,0.066858694418972,5002.37899971009,471.083,4020.034,348.513,NA,77.921,NA,NA,46.251,32.203
2014-04-08,6.75,0.25,0,0.0851247802588242,2492.81900143623,271.837,1472.667,2000.842,NA,652.77,NA,NA,7.044,NA
2014-04-09,7,0.25,0.75,0.15361895279047,7907.56599855423,498.626,6228.592,931.454,NA,144.336,7.161,NA,87.147,4.016
2014-04-10,7.2,0.8,1,0.0133471201432326,3369.27800011635,489.721,2104.748,879.885,NA,1896.158,257.664,NA,NA,4.033
2014-04-11,7,0.2,0.6,0.0946152502759936,5875.09800100327,1013.046,4781.4,551.691,21.127,100.988,72.543,NA,NA,5.04
2014-04-12,7,-1.4,1,0.0492988572542674,9284.78499865532,374.492,7058.309,531.652,NA,102.538,766.973,NA,148.693,38.441
2014-04-13,7.5,0.333333333333333,1,0.114127383443937,2350.60800051689,618.154,1668.641,201.961,NA,141.63,198.636,NA,NA,NA
2014-04-14,6.4,-1.2,0.4,0.101723445115777,4047.47299981117,624.276,1498.658,389.578,NA,148.628,1141.03,NA,246.393,74.099
2014-04-15,7,0.2,0.8,0.0572965488566126,7540.28700089455,389.689,4296.69,602.297,NA,595.167,1561.887,NA,219.536,11.224
2014-04-16,7.2,-0.6,0.8,0.105649431146176,1779.03599953651,224.474,1065.002,235.091,NA,126.471,462.505,NA,NA,23.194
2014-04-17,6.6,0.4,0.6,0.115038455622527,5463.5009996891,582.436,4081.767,437.383,NA,86.826,833.708,NA,40.053,40.364
2014-04-18,7.5,0.25,1,0.115167407224606,5954.95700097084,1123.99,4169.94,826.468,NA,269.606,881.555,NA,192.519,3.028
2014-04-19,7.2,-0.8,0.8,0.0608869898356053,2441.47100162506,116.467,1140.55,43.79,NA,112.552,904.395,NA,105.788,14.285
2014-04-20,7.2,-1.2,1,0.0353829927419272,7613.72999978066,372.859,4990.249,619.547,NA,46.363,1471.252,NA,180.368,109.92
2014-04-21,7.2,-0.6,1,0.101777458061116,7826.85799980164,433.548,5939.196,366.749,NA,62.632,647.545,5.029,55.333,215.029
2014-04-22,7.2,0.4,1,0.0628479797556211,4750.19700193405,525.8,2224.006,279.441,NA,152.116,1452.113,NA,97.567,12.18
2014-04-23,7.2,-1,1,0.0809468968896285,4737.81899857521,244.856,3439.813,966.003,NA,73.26,888.153,NA,116.184,NA
2014-04-24,7.2,-0.75,1,0.0393710661860602,5063.66400051117,440.236,3924.221,99.176,NA,58.243,543.865,NA,49.194,10.037
2014-04-25,7.2,-1.2,1,0.0490527215183881,5750.14400267601,1591.018,3506.227,838.425,NA,65.782,1261.784,NA,218.396,35.265
2014-04-26,7.8,-0.8,1,0.20016636094206,5481.50500035286,688.974,3364.003,1170.485,NA,146.654,709.549,NA,16.074,72.459
2014-04-27,7.4,-0.6,1,0.018822482895968,3046.84000086784,130.072,3169.602,230.117,NA,217.575,522.991,NA,NA,78.758
2014-04-28,7,-0.6,1,0.0103046275291195,6057.33000040054,427.954,4711.91,671.527,NA,55.599,572.717,NA,174.014,3.01
2014-04-29,6.8,0.4,0.8,0.041165097146741,3830.34599876404,NA,2739.915,583.655,NA,141.214,2346.645,NA,175.478,10.124
2014-04-30,7,-0.6,1,0.0616085178227266,3712.83299970627,31.581,2949.287,103.591,NA,64.292,345.148,NA,203.296,10.068
2014-05-01,6.8,-0.2,1,0.0252922751060056,5083.85499882698,343.089,4160.492,90.454,NA,139.338,495.205,NA,NA,NA
2014-05-02,7,-0.2,1,0.00681724029542504,12600.6059992313,3161.149,7488.641,390.407,NA,449.645,893.075,NA,119.587,42.229
2014-05-03,6.75,0.25,1,0.0544708514885385,3715.25099921227,489.999,2458.414,164.737,NA,59.096,717.739,NA,214.516,9.075
2014-05-04,7,0.25,1,0.0725803349308499,4132.47699904442,177.708,3289.885,269.681,NA,104.053,71.958,NA,110.071,26.158
2014-05-05,6.33333333333333,-0.333333333333333,1,0.0024906600249066,49.0330002307892,NA,32.771,5.155,NA,10.221,NA,NA,NA,NA
