"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-03-21,7,0,1,NA,3007.83399891853,29.307,1221.081,1447.456,NA,NA,2.113,216.908,NA,NA,NA,2.02,NA
2014-03-22,7,0,0.666666666666667,0.0628472222222222,4706.24100065231,149.06,2687.055,4606.765,NA,NA,13.309,147.031,122.568,193.317,NA,1.003,3.02
2014-03-23,6.75,0.75,0.25,0.0333333333333333,7160.27999973297,299.254,3187.773,35937.645,NA,NA,NA,68.399,18.333,193.588,NA,3.054,NA
2014-03-24,7.25,0.5,0.5,0.0791666666666667,5929.98400068283,60.258,3151.801,1067.735,54.492,NA,4.091,83.633,903.155,250.549,324.702,20.667,NA
2014-03-25,6.2,0.4,-0.2,0.0256944444444444,7212.19300127029,327.622,2417.235,3985.339,106.12,NA,10.256,72.38,122.999,32.474,NA,3.016,17.433
2014-03-26,7.75,0.5,0.75,0.0863155761862658,8552.02700018883,625.437,1505.181,2757.001,61.349,NA,1.004,46.913,318.847,NA,NA,75.999,NA
2014-03-27,7.8,-0.4,0.8,0.0270833333333333,4169.42199897766,210.582,790.652,2440,NA,NA,NA,96.622,501.617,1.01,112.478,NA,14.396
2014-03-28,8.25,-0.25,1,0.0797784391534391,10467.4840018749,509.971,2641.962,5631.858,56.071,NA,6.096,245.898,293.719,983.769,17.192,70.972,NA
2014-03-29,8,-0.4,1,0.0822916666666667,7516.97699904442,454.912,3478.223,3166.781,NA,NA,NA,63.889,188.847,157.702,NA,3.242,NA
2014-03-30,7.75,-1,1,0.11195652173913,8669.2909989357,1384.013,3493.521,3177.558,21.601,NA,NA,41.815,491.893,NA,NA,4.061,50.67
2014-03-31,7,-0.2,0.2,0.0833333333333333,6808.90499949455,623.375,3363.608,2077.002,97.282,NA,4.1,49.509,10.145,576.383,NA,4.043,NA
2014-04-01,7.6,0,0.6,0.0798611111111111,12936.0860011578,2289.139,5259.525,4216.561,123.632,NA,NA,64.097,107.098,137.18,729.504,5.071,NA
2014-04-02,6.2,0.2,0,0.0413865546218487,3616.18499994278,1302.409,698.093,1408.972,NA,NA,NA,78.426,33.83,NA,NA,59.262,32.864
2014-04-03,7.6,0,0.6,0.180902777777778,6119.87199950218,588.224,2006.619,1529.534,97.29,NA,4.04,90.741,209.625,1508.771,80.247,NA,NA
2014-04-04,7.25,-0.75,0.75,0.0760416666666667,6912.64599967003,276.152,3102.534,2802.714,47.772,175.019,NA,61.001,166.319,275.002,NA,3.087,NA
2014-04-05,7.5,0,0.75,0.115625,5465.09300088882,53.051,3022.079,2117.323,NA,80.992,1.012,76.697,109.2,NA,NA,1.007,NA
2014-04-06,6.8,-0.4,0.8,0.138888888888889,7160.6480023861,269.692,2888.572,3578.599,51.71,NA,4.025,52.749,260.428,NA,4.098,22.322,24.224
