"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","game","other","social","travel","unknown","utilities"
2014-03-21,4.66666666666667,0.666666666666667,0.666666666666667,0.109655017921147,6933.05800008774,1992.576,4906.089,NA,NA,117.069,5.037,NA,NA,NA
2014-03-22,6.6,-1.4,0.4,0.086579268612413,4756.04900050164,3243.811,1842.908,NA,NA,480.03,71.613,NA,NA,NA
2014-03-23,7,-0.8,0.8,0.0294604386995692,996.320998668671,572.459,252.169,NA,NA,104.042,67.619,NA,NA,NA
2014-03-24,6,-0.4,0.4,0.113889446061364,2143.29900097847,384.557,3434.444,26.125,NA,53.411,NA,NA,NA,NA
2014-03-25,5.5,-1.25,0.25,0.11325160672352,4789.01599884033,1052.341,3930.737,NA,NA,54.303,NA,NA,NA,NA
2014-03-26,6,-0.6,0.4,0.108914826126965,4413.39799952507,911.113,3308.547,NA,NA,49.532,139.746,NA,2.006,NA
2014-03-27,6.6,0,0.6,0.132204608480074,3595.46499848366,880.167,2165.117,242.518,NA,47.601,190.399,NA,66.857,NA
2014-03-28,6.6,-0.6,1.2,0.148872265021468,2731.15899920464,851.371,1221.546,562.849,NA,63.667,26.28,NA,4.047,NA
2014-03-29,7.4,0.2,1.2,0.1379542600292,1752.94699978828,608.323,962.6,85.276,NA,95.584,NA,NA,NA,NA
2014-03-30,7,-0.4,0.8,0.0645236703682057,1024.71699976921,2877.918,690.436,NA,NA,50.268,NA,NA,NA,NA
2014-03-31,7.2,-0.4,1,0.130120999549245,6191.57199954986,857.534,5208.941,NA,NA,44.667,NA,238.217,NA,NA
2014-04-01,6.4,0,0.2,0.133466829294,3570.4710009098,591.501,4749.215,NA,NA,49.427,NA,NA,8.822,NA
2014-04-02,7.6,-0.2,1,0.0771635548510742,1855.27500033379,585.067,1181.837,NA,NA,41.193,47.717,NA,NA,NA
2014-04-03,6.6,0,0.6,0.073077147525677,3131.02300047874,654.474,2433.116,NA,NA,42.374,NA,NA,NA,NA
2014-04-04,7,-0.2,0.4,0.157021153971037,3949.33400082588,1470.515,2113.677,NA,NA,195.699,219.406,NA,NA,NA
2014-04-05,8,-0.6,1.2,0.135955766000049,2214.12400078774,643.282,1089.559,NA,360.982,65.382,53.37,NA,NA,NA
2014-04-06,7.25,-1.25,1,0.0942241064341779,2472.24199986458,764.085,1658.215,NA,NA,49.277,NA,NA,NA,NA
2014-04-07,6.6,-1,0.6,0.183434929130736,3835.0420024395,1506.19,2995.572,NA,NA,63.583,214.58,NA,NA,NA
2014-04-08,6.8,-0.4,1,0.0890627978565847,2903.4530005455,994.528,1925.071,NA,NA,39.395,NA,NA,NA,53.342
2014-04-09,7.2,-0.4,0.8,0.117565128895891,3051.98200154304,522.515,2467.106,NA,NA,60.629,NA,NA,NA,NA
