"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","game","office","other","social","travel","unknown","utilities"
2014-03-22,7,0,1,0.3713608957795,6747.24200201035,403.867,1871.42,723.923,NA,NA,294.722,662.43,NA,2821.547,NA
2014-03-23,7,-0.4,1,0.217996152460013,36204.1050014496,1069.076,8325.709,1164.891,NA,NA,66.582,26909.387,NA,274.316,21.202
2014-03-24,5.8,-0.2,-0.2,0.355413230780878,11243.0270011425,2697.491,3689.192,1131.028,NA,NA,443.717,1270.961,39.085,280.964,3.016
2014-03-25,6.2,-0.4,0.6,0.27495405128584,21481.4189991951,2184.615,5755.287,13265.386,NA,NA,306.618,NA,180.392,256.963,NA
2014-03-26,7,-0.25,1.25,0.405048854927955,11393.9369974136,700.687,6966.642,2465.463,179.902,NA,841.12,145.669,22.086,85.333,NA
2014-03-27,7,0.75,1.25,0.356218434343434,9123.21499967575,1005.019,3732.496,4003.163,1684.809,NA,92.791,15.102,42.16,953.916,NA
2014-03-28,7,0.6,1.2,0.405412087912088,5532.18599820137,237.626,4366.891,1032.578,162.835,NA,51.548,NA,6.021,NA,NA
2014-03-29,7.25,0.25,1.5,0.39717587768909,10590.7699999809,1619.468,4979.601,692.373,3467.018,NA,122.693,97.176,56.117,124.069,NA
2014-03-30,7,0,1.2,0.418194351604278,7674.73599910736,782.505,2910.908,2285.785,663.558,NA,210.147,522.704,NA,272.746,48.304
2014-03-31,7.5,-0.25,1.5,0.383014657192235,15913.595998764,2354.496,8950.417,3680.247,675.346,NA,96.989,277.922,34.179,7.025,NA
2014-04-01,7.5,0,2,0.511297498797499,9203.44099903106,1097.685,6127.288,716.305,126.497,141.805,35.653,201.21,359.536,407.957,35.176
2014-04-02,7,0.5,1,0.46934807020554,11304.2000002861,1484.921,4949.538,3291.494,244.258,NA,90.07,34.518,1204.962,38.475,22.09
2014-04-03,7,0.5,1,0.360560699897793,14539.9050011635,2095.516,6108.804,5385.856,633.276,NA,70.19,50.619,153.237,138.92,4.011
2014-04-04,7,1,1,0.543842706255363,11953.045999527,1311.793,8742.767,1668.727,101.021,NA,9.152,28.116,55.262,NA,NA
2014-04-05,6.5,0.75,1,0.391631810145348,6510.45899939537,493.636,5175.98,298.165,422.999,NA,170.357,NA,NA,13.523,NA
2014-04-06,7,0,0.6,0.303280855603944,13406.3130030632,910.816,8068.377,4011.523,37.627,NA,71.52,199.814,71.769,35.299,NA
2014-04-07,5.75,-0.25,0.25,0.382308226347741,10270.5819997787,1382.885,5334.362,2797.851,NA,NA,51.225,258.091,667.904,135.523,NA
2014-04-08,6.6,0.2,0.6,0.230117880485528,14280.3359997272,1037.227,4676.165,752.619,79.641,NA,103.987,770.567,127.947,63.865,29.157
2014-04-09,7.2,-0.4,1.2,0.381734291349676,9193.63000106812,326.126,7386.368,1175.57,115.422,NA,99.894,89.013,NA,NA,NA
2014-04-10,7,0,0.8,0.284126213299889,22168.9020004272,1651.368,5707.486,555.162,12996.495,NA,200.458,668.626,NA,NA,2.006
2014-04-11,7,0.4,1,0.345387364023241,11599.4479997158,831.416,9208.996,NA,724.596,NA,147.04,24.367,817.595,72.438,NA
2014-04-12,7.75,-0.25,1,0.328347278544907,6615.8919994831,210.005,3272.365,1705.268,602.51,NA,167.097,142.865,136.5,300.455,NA
2014-04-13,7.2,0.6,1,0.362599206349206,7623.85799694061,514.242,4048.432,2732.627,18.832,NA,145.478,10.827,NA,146.002,NA
2014-04-14,NA,NA,NA,0.299606825294813,12064.4469978809,1206.606,5660.479,17.261,4719.815,NA,NA,49.892,173.114,205.014,NA
2014-04-15,7.25,0,1,0.319287067973058,9824.82599782944,2947.03,4146.798,43.211,901.718,1082.168,471.44,11.039,156.19,NA,NA
2014-04-16,7.4,0,1,0.378466607710575,10167.0880002976,935.236,3774.469,NA,239.114,4233.241,143.656,527.694,312.53,NA,NA
2014-04-17,7.4,1,1.4,0.479780409353968,12462.8389999866,1454.283,7747.834,238.248,356.74,2132.851,510.609,84.255,62.372,155.818,NA
2014-04-18,7.6,0.4,1,0.381460437710438,7498.49500131607,456.465,4506.261,294.245,NA,1189.424,170.247,164.892,6.017,79.977,166.96
2014-04-19,7.75,0,1,0.344155844155844,2376.00999975204,173.949,1734.427,5.035,133.636,NA,134.006,NA,NA,194.065,16.059
2014-04-20,7.75,0.5,1,0.549429784774612,6345.5350010395,1437.636,2613.609,1253.589,50.729,NA,340.618,598.481,NA,42.227,7.056
2014-04-21,7.2,-0.4,1,0.411522463672228,7331.51699948311,104.449,6126.238,598.668,NA,NA,187.417,43.31,NA,8.454,NA
2014-04-22,6.2,0.2,0.4,0.394618556642702,20183.2620010376,3657.213,8586.115,684.402,NA,1835.055,141.531,34.539,126.304,3.592,8.266
2014-04-23,7,0,1,0.237193013759686,9881.77500033379,2862.224,2822.603,485.254,287.45,1719.609,698.304,NA,5.013,876.893,NA
2014-04-24,7.4,0,1,0.498065687794202,11942.8340013027,670.167,7530.947,94.265,3.008,2236.982,375.986,994.51,70.298,98.24,NA
2014-04-25,7.8,-0.2,1.2,0.382158008243327,11193.504001379,2603.498,5335.803,39.42,NA,1611.675,95.531,1297.262,NA,142.21,11.041
2014-04-26,7.5,-0.5,1,0.404864302364302,6491.55700182915,752.112,5053.181,422.296,1.01,4.013,31.127,40.959,122.555,63.158,NA
2014-04-27,7,-0.2,1,0.367370750666029,12532.9799957275,1780.652,7875.276,922.58,NA,NA,563.596,103.585,54.285,119.858,10.091
2014-04-28,7.6,-0.2,1,0.371760681182597,18749.9429991245,1176.819,4890.993,3193.836,1441.331,5228.516,2186.399,488.663,93.502,37.465,11.099
2014-04-29,7.4,-0.2,1.2,0.373517355660213,7028.15200042725,800.724,3311.837,2059.393,NA,NA,114.713,314.343,NA,0.111,NA
2014-04-30,9,-1,1,0.442553078332139,10908.6809999943,423.603,8594.635,679.122,NA,NA,19.248,1460.125,NA,14.065,NA
2014-05-01,NA,NA,NA,0.3654355127589,16494.0910019875,598.195,13099.3,2260.682,NA,NA,4.018,437.29,92.087,204.388,23.138
2014-05-02,NA,NA,NA,0.397778126630997,8933.06100058556,610.815,4481.607,493.955,NA,3079.064,NA,NA,288.995,NA,NA
2014-05-03,NA,NA,NA,0.566170634920635,2380.23400020599,228.229,1993.056,29.68,NA,NA,NA,127.864,NA,NA,NA
2014-05-04,NA,NA,NA,0.217948717948718,2726.17700099945,195.125,2370.035,139.996,NA,NA,NA,20.568,NA,NA,NA
