"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities","weather"
2014-03-23,7.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-24,7,-0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-25,6.6,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-26,6.4,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-27,6.2,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-28,8,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-29,8.2,-0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-30,7.2,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-31,7,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,6.6,0.4,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-02,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-03,6.8,-0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-04,6.75,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-05,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-06,6.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-07,6.75,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-08,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-09,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-10,6.6,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-11,6.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-12,7.75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-13,7,-0.2,0,0.0682161723288344,6149.78100037575,627.954,734.802,189.519,NA,91.954,4758.654,NA,NA,NA,3.024
2014-04-14,7.4,0.4,0.4,0.0650244499509205,6125.10999989509,1143.794,1084.797,174.296,NA,46.363,3623.094,NA,NA,NA,50.385
2014-04-15,6.8,0.2,0.4,0.100203061450569,8624.15199875832,2653.229,612.097,NA,132.979,57.402,5401.366,NA,NA,NA,NA
2014-04-16,6.8,0.2,0.2,0.0858951914098973,3527.11700081826,21058.474,447.612,NA,NA,65.404,2437.171,NA,149.882,NA,NA
2014-04-17,6,0,-0.2,0.0815159185142984,6102.27800059318,1579.401,2294.683,NA,NA,42.265,2635.341,107.875,NA,NA,NA
2014-04-18,7.2,0.6,0.8,0.0768839477251722,10462.5670003891,4545.204,3182.322,NA,NA,53.724,6203.246,NA,NA,NA,NA
2014-04-19,8,1,1,0.215784476414762,3189.77600073815,11548.82,1058.353,NA,NA,42.46,1653.397,NA,NA,NA,NA
2014-04-20,8,0.6,1,0.0328671565702588,7129.81499958038,367.645,871.69,64.279,NA,63.454,5737.269,NA,NA,23.082,NA
2014-04-21,6.4,-0.2,0,0.0939812012375572,7717.23900055885,840.72,2112.142,190.543,NA,42.427,4547.481,NA,NA,22.112,NA
2014-04-22,7.25,0.5,1,0.107225842314327,7584.15400195122,6568.861,2633.366,NA,NA,46.251,2340.111,NA,2.009,NA,6.219
2014-04-23,6.2,0.2,0.2,0.0960912896231939,6572.15000057221,1518.024,1454.579,11.107,NA,61.819,3509.613,NA,NA,NA,12.223
2014-04-24,5.8,0,-0.4,0.0768722602035164,7454.10100078583,7303.616,3682.128,66.465,NA,39.663,2454.664,NA,306.755,NA,37.258
2014-04-25,6.6,0.2,0.4,0.110312639548573,9746.30400085449,7653.389,4275.539,44.366,NA,53.707,3817.544,137.239,NA,NA,103.807
2014-04-26,8,1,1,0.284122697515314,6004.02799987793,809.604,3281.12,55.83,NA,33.732,1711.94,118.686,NA,NA,NA
2014-04-27,7.8,0.8,0.8,0.0787771489453208,2349.39400053024,681.359,534.269,77.526,NA,57.582,874.058,97.476,NA,NA,25.162
2014-04-28,8,1,1,0.160014005602241,5659.50799846649,670.424,2553.024,241.695,NA,42.468,2122.478,NA,NA,26.402,NA
2014-04-29,6.6,0.6,0.4,0.0974598031302916,4524.96600198746,1348.764,1083.662,NA,NA,58.754,2277.535,NA,NA,NA,59.313
2014-04-30,6.2,-0.2,0.2,0.0840277777777778,7556.27299928665,1069.053,4156.633,37.577,NA,45.78,2243.536,NA,NA,NA,NA
2014-05-01,6.8,0,0.4,0.116824229691877,5536.59799981117,2948.324,1135.013,NA,NA,35.331,1767.848,NA,NA,NA,NA
2014-05-02,7.2,0.2,0.8,0.143028745339922,4744.67600083351,733.06,1681.137,306.82,NA,50.54,2182.296,72.414,424.117,NA,12.076
2014-05-03,7.8,0,0.8,0.0464574820655356,3909.75100135803,1215.653,1089.118,50.564,NA,45.589,3490.629,NA,NA,NA,NA
2014-05-04,7.4,-0.2,0.4,0.0175177860999472,4421.83099961281,418.308,382.458,77.555,NA,56.359,3486.181,NA,NA,NA,NA
2014-05-05,6.5,0.25,0.25,0.0992824107043948,4018.60300040245,884.458,551.786,49.334,NA,30.449,2500.63,NA,NA,NA,NA
2014-05-06,NA,NA,NA,0.0501412429378531,6861.39300060273,890.806,475.491,137.375,NA,NA,5255.513,NA,114.715,NA,NA
2014-05-07,6.8,0,0.4,0.0913150305099551,2567.52799987793,667.753,454.499,NA,NA,31.337,1409.081,NA,3.16,NA,NA
2014-05-08,6.6,-0.2,0.4,0.105632062146893,9094.6829996109,13109.071,2487.484,1168.661,NA,35.558,1607.703,NA,990.928,NA,77.722
2014-05-09,6.8,0.2,0.6,0.11315028129896,8174.01899909973,18385.732,2662.147,439.691,NA,64.459,3528.01,NA,97.568,30.225,26.515
2014-05-10,8,0.6,1,0.0710200746965453,5994.58599996567,1005.739,1520.231,NA,NA,55.179,3441.312,NA,NA,NA,77.206
2014-05-11,6.2,0.4,0,0.0733047385620915,5422.55400061607,3459.921,2786.466,9.052,NA,43.603,1261.893,70.547,NA,NA,20.033
2014-05-12,6.4,0,0.4,0.015353740366203,8348.15000057221,3240.608,3746.153,326.994,NA,31.537,2868.964,NA,122.736,24.091,NA
2014-05-13,7,0.4,0.6,0.129871835244506,7440.5710003376,5164.12,2319.525,41.431,NA,33.696,2278.385,NA,2.008,NA,NA
2014-05-14,6,0,0,0.0924983482093402,4245.3759996891,3550.947,2376.884,40.643,NA,33.237,1155.347,NA,NA,NA,NA
2014-05-15,6.4,0.2,0.2,0.141308296823003,13098.3080005646,1464.056,8952.588,124.086,NA,29.367,2429.007,70.374,NA,24.071,NA
2014-05-16,7.4,0.6,0.8,0.107086579057487,9174.19400024414,2902.587,4533.666,95.791,NA,39.31,2874.238,NA,NA,24.199,NA
2014-05-17,7.4,0.5,0.5,0.133426704014939,4837.18700098991,1027.73,1690.919,271.807,NA,39.566,2180.738,54.498,NA,NA,NA
